id,collection,dc.title[en_US],dc.content.language[en_US],dc.content.languagecode[en_US],dc.subject.language[en_US],dc.subject.languagecode[en_US],dc.language.iso[en_US],dc.description.region[en_US],dc.coverage.iso3166,dc.coverage.spatial[en_US],dc.description[en_US],dc.contributor.depositor[en_US],dc.contributor.speaker[en_US],dc.contributor.researcher[en_US],dc.contributor.consultant[en_US],dc.contributor.recorder[en_US],dc.date.begin[en_US],dc.date.finish[en_US],dc.date.issued[en_US],dc.type.linguistictype[en_US],dc.format[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.type.dcmi[en_US]
+,123456789/3,JV1-137,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; linguogram 'decorative belt'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:15,http://hdl.handle.net/10125/27623,image
+,123456789/3,JV1-138,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; palatogram 'remove'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:29,http://hdl.handle.net/10125/27624,image
+,123456789/3,JV1-138,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; linguogram 'pair'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:16,http://hdl.handle.net/10125/27622,image
+,123456789/3,JV1-139,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; palatogram 'fish'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:20,http://hdl.handle.net/10125/27625,image
+,123456789/3,JV1-140,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; palatogram 'tree'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:18,http://hdl.handle.net/10125/27626,image
+,123456789/3,JV1-141,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; palatogram 'yam'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:21,http://hdl.handle.net/10125/27627,image
+,123456789/3,JV1-142,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; palatogram 'stand'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:21,http://hdl.handle.net/10125/27628,image
+,123456789/3,JV1-143,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; MISTAKE - palatogram 'pair'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:21,http://hdl.handle.net/10125/27629,image
+,123456789/3,JV1-144,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; palatogram 'pair'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:21,http://hdl.handle.net/10125/27630,image
+,123456789/3,JV1-145,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,palatography 4; palatogram 'decorative belt'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-23,2013-03-23,2013-03-23,lexicon,digital video file,0:00:34,http://hdl.handle.net/10125/27631,image
+,123456789/3,JV1-146,"Horpa||English||Chinese, Mandarin",ero||eng||cmn,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"sentence list 21; sentences targeting tense, direct/inverse, transitive/intransitive. ","Van Way, John",,"Van Way, John||Kuo, Jonathan||Chen, Victoria","Bzangpo, Bkrashis",,2013-03-28,2013-03-28,2013-03-28,lexicon,48 kHz/24 bit,1:16:12,http://hdl.handle.net/10125/27632,sound
+,123456789/3,JV1-147,"Horpa||English||Chinese, Mandarin",ero||eng||cmn,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,wordlist 35; wordlist targeting pre-initials (phonetic elicitation with headset): words marked with orange from FLEx printouts. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-29,2013-03-29,2013-03-29,lexicon,48 kHz/24 bit,0:16:35,http://hdl.handle.net/10125/27633,sound
+,123456789/3,JV1-148,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"wordlist 36; wordlist (phonetic elicitation) 'yam', 'horse', 'stand'. ","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-29,2013-03-29,2013-03-29,lexicon,48 kHz/24 bit,0:01:08,http://hdl.handle.net/10125/27634,sound
